,holiday,temperature,rain_1h,snow_1h,clouds_percentage,weather_type,weather_type_details,date_time,population_density,population_density_categorical
17795,None,291.58,0.0,0.0,1,Clear,sky is clear,8/28/2015 20:00,3296,medium
42366,None,271.23,0.0,0.0,1,Haze,haze,3/15/2018 23:00,1205,very low
35841,None,291.53,0.0,0.0,1,Clear,sky is clear,8/1/2017 4:00,926,very low
5968,None,281.75,0.0,0.0,40,Clouds,scattered clouds,5/12/2013 12:00,3311,medium
12280,None,265.05,0.0,0.0,90,Clouds,overcast clouds,2/16/2014 1:00,670,very low
46718,None,293.79,0.0,0.0,75,Clouds,broken clouds,8/15/2018 2:00,335,very low
36459,None,300.51,0.0,0.0,40,Clouds,scattered clouds,8/20/2017 14:00,4586,high
33375,None,280.95,0.0,0.0,1,Fog,fog,5/5/2017 8:00,5868,very high
39868,None,270.65,0.0,0.0,90,Haze,haze,12/17/2017 18:00,3558,medium
47806,None,289.02,0.0,0.0,90,Clouds,overcast clouds,9/18/2018 12:00,4725,high
42902,None,271.79,0.0,0.0,90,Mist,mist,4/3/2018 17:00,4207,medium
40805,None,268.35,0.0,0.0,1,Fog,fog,1/20/2018 6:00,1307,very low
31677,None,261.71,0.0,0.0,1,Clear,sky is clear,3/12/2017 7:00,998,very low
40632,None,262.44,0.0,0.0,90,Snow,snow,1/14/2018 14:00,3873,medium
37543,None,295.21,0.0,0.0,75,Clouds,broken clouds,9/28/2017 15:00,6113,very high
38143,None,286.62,0.0,0.0,75,Clouds,broken clouds,10/18/2017 21:00,2745,low
5879,None,288.37,0.0,0.0,75,Clouds,broken clouds,5/9/2013 8:00,5813,high
44553,None,290.82,0.0,0.0,90,Fog,fog,5/31/2018 4:00,922,very low
19592,None,273.38,0.0,0.0,1,Clear,sky is clear,11/19/2015 22:00,2023,low
12968,None,268.33,0.0,0.0,75,Clouds,broken clouds,3/16/2014 20:00,2536,low
22715,None,287.3,0.0,0.0,1,Rain,light rain,4/24/2016 5:00,629,very low
6447,None,287.08,0.0,0.0,90,Clouds,overcast clouds,5/27/2013 17:00,3473,medium
46937,None,288.66,0.0,0.0,1,Clear,sky is clear,8/23/2018 1:00,402,very low
20164,None,273.74,0.0,0.32,90,Rain,moderate rain,12/23/2015 14:00,5182,high
36071,None,290.37,0.0,0.0,1,Clear,sky is clear,8/9/2017 2:00,306,very low
40436,None,269.29,0.0,0.0,1,Clear,sky is clear,1/8/2018 8:00,5751,high
30404,None,274.48,0.0,0.0,90,Mist,mist,1/23/2017 0:00,529,very low
24931,None,293.171,0.0,0.0,0,Clear,Sky is Clear,7/14/2016 1:00,394,very low
38436,None,273.68,0.0,0.0,90,Clouds,overcast clouds,10/28/2017 14:00,5031,high
30574,None,268.68,0.0,0.0,90,Clouds,overcast clouds,1/29/2017 2:00,561,very low
37534,None,284.43,0.0,0.0,40,Rain,moderate rain,9/28/2017 6:00,6062,very high
39875,None,269.94,0.0,0.0,90,Mist,mist,12/17/2017 22:00,1692,low
34387,None,298.37,0.0,0.0,40,Clouds,scattered clouds,6/9/2017 22:00,2951,medium
39928,None,270.22,0.0,0.0,75,Clouds,broken clouds,12/19/2017 20:00,2794,low
28579,None,281.35,0.0,0.0,90,Drizzle,light intensity drizzle,11/28/2016 4:00,804,very low
39066,None,274.15,0.0,0.0,90,Mist,mist,11/18/2017 6:00,1385,very low
18624,None,290.77,0.0,0.0,1,Clear,sky is clear,9/27/2015 9:00,3394,medium
36068,None,292.23,0.0,0.0,1,Clear,sky is clear,8/8/2017 23:00,1198,very low
46832,None,292.0,0.0,0.0,1,Haze,haze,8/19/2018 8:00,1971,low
45292,None,294.82,0.0,0.0,40,Rain,light rain,6/24/2018 23:00,1209,very low
43759,None,287.75,0.0,0.0,75,Clouds,broken clouds,5/2/2018 13:00,5034,high
26766,None,292.94,0.0,0.0,88,Rain,light rain,9/20/2016 22:00,1550,low
2202,None,269.25,0.0,0.0,90,Mist,mist,12/19/2012 13:00,5084,high
37152,None,295.48,0.0,0.0,1,Clear,sky is clear,9/14/2017 10:00,4603,high
33493,None,293.87,0.0,0.0,75,Clouds,broken clouds,5/9/2017 18:00,4462,high
25225,None,290.1,0.0,0.0,1,Clear,sky is clear,7/25/2016 6:00,5010,high
2560,None,263.78,0.0,0.0,40,Clouds,scattered clouds,1/1/2013 1:00,1502,low
39069,None,273.0,0.0,0.0,1,Clear,sky is clear,11/18/2017 9:00,3676,medium
20282,None,268.91,0.0,0.05,90,Snow,light snow,12/29/2015 6:00,3568,medium
203,None,272.52,0.0,0.0,1,Clear,sky is clear,10/11/2012 8:00,6304,very high
9570,None,276.12,0.35,0.0,64,Drizzle,light intensity drizzle,10/19/2013 9:00,3867,medium
23056,None,294.92,0.0,0.0,40,Clouds,scattered clouds,5/5/2016 14:00,5567,high
23688,None,290.9,0.89,0.0,90,Mist,mist,5/27/2016 14:00,5095,high
13270,None,273.59,0.0,0.0,1,Clear,sky is clear,3/29/2014 10:00,4112,medium
761,None,273.15,0.0,0.0,75,Clouds,broken clouds,10/30/2012 4:00,762,very low
18645,None,294.11,0.0,0.0,40,Rain,light rain,9/28/2015 12:00,4660,high
1925,None,257.81,0.0,0.0,40,Clouds,scattered clouds,12/11/2012 18:00,4415,high
36174,None,288.82,0.0,0.0,1,Mist,mist,8/12/2017 1:00,963,very low
6144,None,286.78,0.0,0.0,90,Thunderstorm,proximity thunderstorm,5/19/2013 6:00,815,very low
21136,None,269.29,0.0,0.0,90,Mist,mist,2/7/2016 19:00,1618,low
31982,None,276.62,0.0,0.0,90,Mist,mist,3/23/2017 20:00,3021,medium
35077,None,301.02,0.0,0.0,75,Clouds,broken clouds,7/4/2017 20:00,2906,low
20242,None,264.68,0.0,0.0,1,Clear,sky is clear,12/27/2015 11:00,3299,medium
20392,None,268.65,0.0,0.0,1,Clear,sky is clear,1/3/2016 20:00,1813,low
1979,None,274.66,0.0,0.0,90,Clouds,overcast clouds,12/13/2012 18:00,4534,high
34398,None,299.15,0.0,0.0,40,Clouds,scattered clouds,6/10/2017 9:00,3648,medium
6987,None,296.78,0.0,0.0,40,Clouds,scattered clouds,6/14/2013 20:00,3286,medium
29643,None,267.9,0.0,0.0,1,Clear,sky is clear,12/31/2016 17:00,4342,medium
27703,None,281.987,0.0,0.0,0,Clear,Sky is Clear,10/30/2016 15:00,3893,medium
1593,None,271.63,0.0,0.0,90,Clouds,overcast clouds,12/1/2012 3:00,411,very low
8619,None,294.39,0.0,0.0,0,Clear,Sky is Clear,8/23/2013 21:00,3121,medium
36901,None,286.69,0.0,0.0,75,Rain,heavy intensity rain,9/4/2017 18:00,3583,medium
23880,None,294.42,0.0,0.0,40,Clouds,scattered clouds,6/2/2016 15:00,5772,high
36146,None,287.55,0.0,0.0,1,Mist,mist,8/11/2017 3:00,409,very low
41560,None,264.29,0.0,0.0,1,Clear,sky is clear,2/16/2018 23:00,1725,low
37495,None,289.55,0.0,0.0,90,Clouds,overcast clouds,9/26/2017 14:00,5095,high
15442,None,296.57,0.0,0.0,92,Mist,mist,7/12/2014 11:00,4144,medium
5060,None,272.9,0.0,0.0,90,Snow,heavy snow,4/12/2013 22:00,2774,low
7347,None,286.91,0.0,0.0,68,Clouds,broken clouds,7/1/2013 4:00,828,very low
2964,None,262.03,0.0,0.0,1,Mist,mist,1/16/2013 2:00,249,very low
30031,None,258.75,0.0,0.0,1,Clear,sky is clear,1/14/2017 3:00,586,very low
22354,None,265.18,0.0,0.0,1,Clear,sky is clear,4/9/2016 7:00,2294,low
7325,None,289.8,0.51,0.0,90,Rain,light rain,6/30/2013 7:00,1170,very low
18445,None,290.52,1.52,0.0,90,Rain,moderate rain,9/20/2015 18:00,3857,medium
17764,None,295.9,0.0,0.0,1,Clear,sky is clear,8/27/2015 14:00,5602,high
37719,None,281.29,0.0,0.0,1,Clear,sky is clear,10/4/2017 6:00,5971,very high
45894,None,289.93,0.0,0.0,5,Clear,sky is clear,7/16/2018 7:00,5793,high
8750,None,286.57,0.0,0.0,0,Rain,light rain,9/2/2013 9:00,2605,low
44356,None,293.69,0.0,0.0,75,Thunderstorm,proximity thunderstorm,5/24/2018 22:00,1938,low
19451,None,277.8,0.0,0.0,90,Clouds,overcast clouds,11/12/2015 18:00,4655,high
24946,None,295.254,0.0,0.0,68,Clouds,broken clouds,7/14/2016 16:00,5854,very high
2305,None,264.82,0.0,0.0,1,Clear,sky is clear,12/22/2012 16:00,4678,high
6381,None,278.64,0.0,0.0,1,Clear,sky is clear,5/25/2013 4:00,366,very low
46672,None,294.69,0.0,0.0,1,Clear,sky is clear,8/13/2018 4:00,924,very low
14856,None,294.98,0.0,0.0,0,Clear,Sky is Clear,6/2/2014 19:00,3320,medium
19355,None,277.02,0.0,0.0,75,Clouds,broken clouds,11/6/2015 21:00,2884,low
2506,None,263.44,0.0,0.0,75,Clouds,broken clouds,12/30/2012 0:00,1195,very low
46784,None,301.22,0.0,0.0,90,Clouds,overcast clouds,8/17/2018 17:00,5141,high
25730,None,300.22,0.0,0.0,0,Clear,Sky is Clear,8/14/2016 16:00,4282,medium
39677,None,271.55,0.0,0.0,90,Snow,light snow,12/11/2017 7:00,4050,medium
35303,None,287.15,0.0,0.0,90,Clouds,overcast clouds,7/13/2017 7:00,6576,very high
31958,None,275.75,0.0,0.0,90,Clouds,overcast clouds,3/23/2017 5:00,2707,low
31721,None,268.65,0.0,0.0,1,Clear,sky is clear,3/13/2017 13:00,4470,high
29778,None,253.95,0.0,0.0,90,Haze,haze,1/5/2017 3:00,386,very low
21198,None,257.35,0.0,0.0,1,Clear,sky is clear,2/10/2016 3:00,337,very low
113,None,277.01,0.0,0.0,90,Clouds,overcast clouds,10/7/2012 11:00,4529,high
37323,None,295.94,0.0,0.0,1,Clear,sky is clear,9/20/2017 18:00,4604,high
43108,None,276.75,0.0,0.0,40,Clouds,scattered clouds,4/10/2018 20:00,2829,low
42603,None,272.08,0.0,0.0,1,Clear,sky is clear,3/25/2018 4:00,274,very low
23391,None,285.77,0.0,0.0,20,Clouds,few clouds,5/16/2016 9:00,4907,high
29919,None,270.22,0.0,0.0,90,Snow,heavy snow,1/10/2017 8:00,3404,medium
44621,None,288.82,0.0,0.0,90,Mist,mist,6/2/2018 12:00,4671,high
34033,None,295.14,0.0,0.0,40,Clouds,scattered clouds,5/26/2017 13:00,4913,high
24960,None,288.494,0.0,0.0,92,Clouds,overcast clouds,7/15/2016 6:00,4949,high
25283,None,297.78,5.89,0.0,90,Thunderstorm,proximity thunderstorm,7/27/2016 13:00,4336,medium
42280,None,267.15,0.0,0.0,1,Clear,sky is clear,3/12/2018 8:00,5668,high
560,None,285.93,0.0,0.0,90,Rain,moderate rain,10/24/2012 9:00,5492,high
43864,None,297.02,0.0,0.0,1,Clear,sky is clear,5/6/2018 17:00,3739,medium
39711,None,262.14,0.0,0.0,75,Clouds,broken clouds,12/12/2017 11:00,4714,high
3874,None,262.43,0.0,0.0,90,Mist,mist,2/25/2013 3:00,291,very low
3074,None,257.21,0.0,0.0,90,Clouds,overcast clouds,1/20/2013 22:00,2215,low
18973,None,281.43,0.0,0.0,90,Clouds,overcast clouds,10/12/2015 23:00,864,very low
21114,None,273.88,0.0,0.0,90,Drizzle,light intensity drizzle,2/7/2016 1:00,770,very low
43387,None,279.23,0.0,0.0,40,Clouds,scattered clouds,4/17/2018 18:00,4827,high
35697,None,295.08,0.0,0.0,90,Drizzle,light intensity drizzle,7/26/2017 9:00,5034,high
44620,None,288.82,0.0,0.0,90,Rain,heavy intensity rain,6/2/2018 12:00,4671,high
18042,None,294.36,0.0,0.0,1,Clear,sky is clear,9/7/2015 1:00,517,very low
40825,None,274.22,0.0,0.0,40,Mist,mist,1/21/2018 1:00,1254,very low
24400,None,297.29,0.0,0.0,44,Clouds,scattered clouds,6/23/2016 14:00,5513,high
11300,None,251.38,0.0,0.0,1,Clear,sky is clear,1/8/2014 1:00,316,very low
31681,None,266.08,0.0,0.0,90,Clouds,overcast clouds,3/12/2017 11:00,3935,medium
10821,None,263.29,0.0,0.0,75,Clouds,broken clouds,12/20/2013 8:00,5209,high
16481,None,294.71,0.0,0.0,1,Clear,sky is clear,7/12/2015 2:00,763,very low
35724,None,292.27,0.0,0.0,5,Clear,sky is clear,7/27/2017 8:00,6096,very high
15329,None,295.22,0.0,0.0,20,Clouds,few clouds,7/8/2014 11:00,4947,high
39047,None,276.29,0.0,0.0,90,Drizzle,light intensity drizzle,11/17/2017 17:00,5965,very high
27457,None,271.73,0.0,0.0,0,Clear,Sky is Clear,10/20/2016 5:00,2743,low
14947,None,301.17,0.0,0.0,40,Clouds,scattered clouds,6/6/2014 14:00,5629,high
10132,None,274.31,0.0,0.0,64,Clouds,broken clouds,11/25/2013 20:00,2405,low
39850,None,268.68,0.0,0.0,90,Mist,mist,12/17/2017 10:00,4399,high
2764,None,271.43,0.0,0.0,75,Clouds,broken clouds,1/8/2013 10:00,4357,medium
34682,None,288.01,0.0,0.0,75,Rain,light rain,6/20/2017 8:00,6019,very high
39203,None,279.42,0.0,0.0,1,Clear,sky is clear,11/23/2017 23:00,1313,very low
38234,None,282.35,0.0,0.0,1,Clear,sky is clear,10/22/2017 4:00,332,very low
14386,None,278.57,0.0,0.0,40,Clouds,scattered clouds,5/17/2014 2:00,620,very low
5054,None,273.79,0.0,0.0,90,Rain,light rain,4/12/2013 19:00,3716,medium
42918,None,267.3,0.0,0.0,90,Haze,haze,4/3/2018 23:00,1271,very low
15532,None,288.66,0.0,0.0,1,Clear,sky is clear,7/15/2014 23:00,1258,very low
18964,None,282.67,0.0,0.0,90,Rain,moderate rain,10/12/2015 16:00,6139,very high
12928,None,267.19,0.0,0.0,75,Clouds,broken clouds,3/15/2014 4:00,372,very low
41636,None,267.45,0.0,0.0,75,Snow,light snow,2/19/2018 15:00,3426,medium
25253,None,299.71,0.0,0.0,40,Clouds,scattered clouds,7/26/2016 10:00,4098,medium
39196,None,280.01,0.0,0.0,40,Clouds,scattered clouds,11/23/2017 16:00,3212,medium
2335,None,265.09,0.0,0.0,20,Snow,heavy snow,12/23/2012 23:00,1198,very low
21885,None,273.39,0.0,0.0,90,Snow,light snow,3/18/2016 2:00,290,very low
3211,None,272.85,0.0,0.0,90,Mist,mist,1/28/2013 14:00,4799,high
11346,None,264.68,0.0,0.0,64,Mist,mist,1/10/2014 0:00,568,very low
4757,None,274.77,0.0,0.0,40,Clouds,scattered clouds,4/3/2013 15:00,5984,very high
14475,None,284.95,0.47,0.0,68,Mist,mist,5/19/2014 21:00,2404,low
14096,None,289.59,0.0,0.0,8,Thunderstorm,proximity thunderstorm,5/7/2014 20:00,3028,medium
34052,None,287.33,0.0,0.0,40,Clouds,scattered clouds,5/27/2017 8:00,1968,low
37698,None,290.61,0.0,0.0,90,Rain,moderate rain,10/3/2017 10:00,4472,high
11731,None,273.15,0.25,0.0,64,Snow,light snow,1/24/2014 19:00,2888,low
23843,None,289.42,0.0,0.0,20,Clouds,few clouds,6/1/2016 2:00,321,very low
18370,None,286.71,0.0,0.0,1,Clear,sky is clear,9/18/2015 3:00,372,very low
44983,None,303.94,0.0,0.0,90,Rain,proximity shower rain,6/15/2018 16:00,6333,very high
15101,None,288.15,1.72,0.0,92,Drizzle,light intensity drizzle,6/15/2014 7:00,1053,very low
10311,None,274.06,0.76,0.0,64,Mist,mist,12/2/2013 19:00,2568,low
9599,None,273.73,0.0,0.0,90,Clouds,overcast clouds,10/21/2013 7:00,6827,very high
10909,None,249.08,0.0,0.0,1,Clear,sky is clear,12/24/2013 1:00,416,very low
24363,None,291.18,0.0,0.0,36,Clouds,scattered clouds,6/22/2016 1:00,461,very low
9971,None,267.63,0.0,0.0,64,Clouds,broken clouds,11/19/2013 4:00,805,very low
3730,None,273.17,0.0,0.0,90,Mist,mist,2/19/2013 10:00,4273,medium
21975,None,276.63,0.0,0.0,40,Clouds,scattered clouds,3/22/2016 20:00,2993,medium
19257,None,280.29,0.0,0.0,90,Rain,heavy intensity rain,10/31/2015 7:00,1806,low
16408,None,287.17,0.3,0.0,1,Rain,light rain,7/9/2015 3:00,346,very low
79,None,279.22,0.0,0.0,40,Clouds,scattered clouds,10/5/2012 22:00,2450,low
33187,None,280.37,0.0,0.0,1,Clear,sky is clear,4/30/2017 2:00,628,very low
40163,None,260.29,0.0,0.0,90,Snow,light snow,12/28/2017 14:00,4308,medium
23183,None,284.71,1.44,0.0,90,Rain,heavy intensity rain,5/10/2016 2:00,213,very low
20932,None,273.8,0.0,0.0,1,Clear,sky is clear,1/31/2016 4:00,401,very low
1266,None,274.78,0.0,0.0,1,Clear,sky is clear,11/17/2012 23:00,2191,low
37634,None,286.08,0.0,0.0,90,Rain,moderate rain,10/2/2017 3:00,334,very low
43433,None,280.88,0.0,0.0,5,Clear,sky is clear,4/19/2018 13:00,5110,high
37497,None,290.48,0.0,0.0,90,Clouds,overcast clouds,9/26/2017 16:00,6894,very high
30416,None,274.08,0.0,0.0,90,Mist,mist,1/23/2017 6:00,5570,high
12178,None,261.12,0.0,0.0,90,Clouds,overcast clouds,2/11/2014 19:00,3079,medium
16400,None,294.44,0.0,0.0,1,Clear,sky is clear,7/8/2015 19:00,3336,medium
6352,None,283.75,0.0,0.0,90,Clouds,overcast clouds,5/23/2013 23:00,1227,very low
1260,None,278.73,0.0,0.0,40,Clouds,scattered clouds,11/17/2012 16:00,4516,high
30040,None,264.48,0.0,0.0,1,Clear,sky is clear,1/14/2017 12:00,4467,high
15158,None,296.23,0.0,0.0,12,Clouds,few clouds,6/26/2014 21:00,3068,medium
45617,None,299.28,0.0,0.0,1,Clear,sky is clear,7/6/2018 15:00,5182,high
21370,None,275.55,0.0,0.0,1,Haze,haze,2/18/2016 12:00,5028,high
14162,None,285.91,0.3,0.0,90,Rain,light rain,5/9/2014 4:00,749,very low
14605,None,290.48,0.0,0.0,40,Clouds,scattered clouds,5/24/2014 8:00,2596,low
27046,None,296.44,0.0,0.0,0,Clear,Sky is Clear,10/2/2016 13:00,4044,medium
24233,None,298.64,0.0,0.0,0,Clear,Sky is Clear,6/16/2016 15:00,5924,very high
11628,None,258.61,0.0,0.0,64,Clouds,broken clouds,1/20/2014 17:00,4516,high
4450,None,257.0,0.0,0.0,1,Clear,sky is clear,3/22/2013 7:00,6399,very high
14684,None,293.24,0.95,0.0,90,Rain,light rain,5/27/2014 15:00,5823,high
44579,None,300.22,0.0,0.0,40,Clouds,scattered clouds,5/31/2018 20:00,3037,medium
31726,None,269.42,0.0,0.0,75,Clouds,broken clouds,3/13/2017 18:00,4568,high
29660,None,269.02,0.0,0.0,1,Clear,sky is clear,1/1/2017 10:00,3592,medium
34733,None,292.96,0.0,0.0,90,Rain,light rain,6/22/2017 8:00,6044,very high
44353,None,294.95,0.0,0.0,75,Thunderstorm,proximity thunderstorm,5/24/2018 21:00,2626,low
15080,None,288.28,0.0,0.0,0,Clear,Sky is Clear,6/12/2014 21:00,2978,medium
25521,None,290.03,0.0,0.0,0,Clear,Sky is Clear,8/5/2016 23:00,2497,low
9433,None,287.35,0.51,0.0,44,Rain,light rain,10/12/2013 1:00,812,very low
21837,None,278.22,0.0,0.0,90,Rain,moderate rain,3/16/2016 5:00,2704,low
15695,None,300.79,0.0,0.0,44,Clouds,scattered clouds,7/22/2014 18:00,5173,high
4203,None,274.79,0.0,0.0,90,Mist,mist,3/10/2013 10:00,2919,medium
4487,None,271.87,0.0,0.0,75,Clouds,broken clouds,3/23/2013 20:00,3030,medium
7936,None,292.54,0.0,0.0,64,Clouds,broken clouds,7/25/2013 22:00,2310,low
36318,None,297.93,0.0,0.0,90,Drizzle,light intensity drizzle,8/16/2017 17:00,6235,very high
38108,None,283.01,0.0,0.0,40,Clouds,scattered clouds,10/17/2017 10:00,4615,high
13779,None,291.29,0.38,0.0,90,Rain,light rain,4/19/2014 16:00,4354,medium
11818,None,249.64,0.0,0.0,1,Clear,sky is clear,1/27/2014 19:00,2305,low
45455,None,298.48,0.0,0.0,75,Clouds,broken clouds,6/30/2018 22:00,2760,low
34308,None,300.02,0.0,0.0,1,Clear,sky is clear,6/6/2017 18:00,4360,medium
33866,None,282.62,0.0,0.0,90,Rain,light rain,5/21/2017 1:00,759,very low
17750,State Fair,287.97,0.0,0.0,1,Clear,sky is clear,8/27/2015 0:00,605,very low
15331,None,296.03,0.0,0.0,75,Clouds,broken clouds,7/8/2014 13:00,5219,high
36999,None,291.65,0.0,0.0,1,Clear,sky is clear,9/8/2017 14:00,5689,high
35583,None,303.96,0.0,0.0,40,Clouds,scattered clouds,7/22/2017 18:00,3901,medium
27223,None,282.341,0.0,0.0,0,Clear,Sky is Clear,10/9/2016 23:00,949,very low
43774,None,284.15,0.0,0.0,40,Clouds,scattered clouds,5/3/2018 4:00,937,very low
14558,None,286.15,0.0,0.0,1,Clear,sky is clear,5/22/2014 9:00,5290,high
23339,None,274.98,0.0,0.0,20,Clouds,few clouds,5/14/2016 4:00,486,very low
1798,None,269.74,0.0,0.0,90,Clouds,overcast clouds,12/8/2012 9:00,3421,medium
20928,None,275.94,0.0,0.0,40,Clouds,scattered clouds,1/30/2016 18:00,5145,high
13940,None,278.18,0.0,0.0,40,Clouds,scattered clouds,4/26/2014 9:00,2661,low
16489,None,298.18,0.0,0.0,90,Clouds,overcast clouds,7/12/2015 10:00,3284,medium
13934,None,276.47,0.0,0.0,1,Clear,sky is clear,4/26/2014 3:00,226,very low
12167,None,249.29,0.0,0.0,1,Clear,sky is clear,2/11/2014 8:00,4971,high
44394,None,293.37,0.0,0.0,1,Clear,sky is clear,5/26/2018 1:00,719,very low
47613,None,297.74,0.0,0.0,75,Clouds,broken clouds,9/11/2018 20:00,3114,medium
43446,None,272.29,0.0,0.0,1,Clear,sky is clear,4/20/2018 2:00,322,very low
13667,None,269.99,0.0,0.0,40,Clouds,scattered clouds,4/15/2014 0:00,529,very low
5926,None,281.75,0.0,0.0,90,Clouds,overcast clouds,5/10/2013 19:00,3748,medium
40290,None,255.43,0.0,0.0,75,Clouds,broken clouds,1/2/2018 11:00,4172,medium
38446,None,271.94,0.0,0.0,1,Clear,sky is clear,10/29/2017 0:00,1622,low
21242,None,260.61,0.0,0.0,1,Clear,sky is clear,2/12/2016 14:00,5639,high
16559,None,291.3,0.0,0.0,1,Clear,sky is clear,7/15/2015 2:00,356,very low
6896,None,296.46,0.0,0.0,0,Clear,Sky is Clear,6/11/2013 19:00,3188,medium
26344,None,297.34,0.0,0.0,90,Drizzle,drizzle,9/5/2016 17:00,3518,medium
34199,None,284.09,0.0,0.0,1,Clear,sky is clear,6/2/2017 5:00,2803,low
46813,None,300.14,0.0,0.0,75,Smoke,smoke,8/18/2018 13:00,4438,high
47250,None,294.0,0.25,0.0,75,Rain,light rain,8/31/2018 8:00,5687,high
33684,None,299.75,0.0,0.0,75,Thunderstorm,proximity thunderstorm,5/16/2017 16:00,6357,very high
24797,None,288.78,0.0,0.0,1,Mist,mist,7/9/2016 3:00,508,very low
29462,None,273.62,0.0,0.0,90,Mist,mist,12/25/2016 9:00,1330,very low
39124,None,280.29,0.0,0.0,75,Clouds,broken clouds,11/20/2017 16:00,6629,very high
23280,None,283.4,0.0,0.0,40,Fog,fog,5/12/2016 3:00,317,very low
39817,None,269.35,0.0,0.0,90,Mist,mist,12/16/2017 8:00,2603,low
19833,None,277.23,0.0,0.0,1,Clear,sky is clear,12/5/2015 10:00,4098,medium
22177,None,274.82,0.0,0.0,90,Drizzle,drizzle,4/1/2016 6:00,5117,high
19008,None,289.92,0.0,0.0,40,Clouds,scattered clouds,10/14/2015 18:00,5122,high
865,None,274.85,0.0,0.0,75,Clouds,broken clouds,11/3/2012 12:00,4833,high
20988,None,271.72,0.0,0.0,90,Fog,fog,2/2/2016 14:00,3798,medium
21379,None,276.15,0.0,0.0,1,Mist,mist,2/19/2016 5:00,2539,low
29120,None,257.65,0.0,0.0,75,Snow,light snow,12/14/2016 9:00,5275,high
38334,None,281.76,0.0,0.0,75,Clouds,broken clouds,10/26/2017 8:00,5825,very high
29553,None,265.75,0.0,0.0,1,Clear,sky is clear,12/27/2016 23:00,1344,very low
32008,None,276.15,0.0,0.0,90,Mist,mist,3/24/2017 5:00,2501,low
64,None,281.69,0.0,0.0,90,Clouds,overcast clouds,10/5/2012 7:00,6628,very high
41773,None,264.29,0.0,0.0,1,Mist,mist,2/23/2018 23:00,2105,low
11287,None,253.48,0.0,0.0,1,Clear,sky is clear,1/7/2014 10:00,3500,medium
35222,None,292.68,0.0,0.0,90,Clouds,overcast clouds,7/10/2017 4:00,873,very low
10414,None,271.44,0.0,0.0,64,Mist,mist,12/4/2013 15:00,4409,high
33454,None,293.21,0.0,0.0,40,Clouds,scattered clouds,5/8/2017 15:00,5521,high
19463,None,276.29,0.0,0.0,5,Clear,sky is clear,11/13/2015 18:00,4291,medium
18483,None,295.95,0.0,0.0,1,Clear,sky is clear,9/22/2015 15:00,5948,very high
11963,None,257.2,0.0,0.0,1,Clear,sky is clear,2/2/2014 20:00,1748,low
16327,None,292.72,1.02,0.0,90,Drizzle,drizzle,7/6/2015 12:00,4385,high
43630,None,286.58,0.0,0.0,40,Clouds,scattered clouds,4/27/2018 18:00,5355,high
43947,None,288.69,0.0,0.0,40,Rain,light rain,5/9/2018 13:00,4933,high
11109,None,251.31,0.0,0.0,64,Clouds,broken clouds,12/31/2013 0:00,580,very low
41249,None,256.02,0.0,0.0,5,Clear,sky is clear,2/4/2018 18:00,2052,low
37355,None,296.58,0.0,0.0,1,Clear,sky is clear,9/22/2017 5:00,2924,medium
13625,None,277.99,0.0,0.0,90,Clouds,overcast clouds,4/13/2014 6:00,786,very low
37694,None,289.84,0.0,0.0,90,Rain,moderate rain,10/3/2017 8:00,5764,high
12869,None,270.77,0.0,0.0,20,Clouds,few clouds,3/12/2014 17:00,6039,very high
13243,None,270.41,0.0,0.0,40,Clouds,scattered clouds,3/28/2014 7:00,6342,very high
42235,None,273.44,0.0,0.0,90,Mist,mist,3/11/2018 1:00,975,very low
39922,None,274.61,0.0,0.0,75,Clouds,broken clouds,12/19/2017 14:00,5385,high
33201,None,279.59,0.0,0.0,90,Drizzle,light intensity drizzle,4/30/2017 13:00,4622,high
40192,None,256.15,0.0,0.0,90,Snow,light snow,12/29/2017 14:00,4750,high
30863,None,256.09,0.0,0.0,1,Clear,sky is clear,2/8/2017 6:00,5795,high
43963,None,284.05,0.0,0.0,75,Clouds,broken clouds,5/10/2018 2:00,270,very low
13146,None,262.79,0.0,0.0,75,Clouds,broken clouds,3/24/2014 6:00,5528,high
35480,None,298.81,0.0,0.0,40,Clouds,scattered clouds,7/19/2017 11:00,5013,high
8776,None,301.48,0.0,0.0,20,Clouds,few clouds,9/4/2013 17:00,6227,very high
29870,None,262.46,0.0,0.0,90,Snow,light snow,1/8/2017 17:00,4198,medium
21394,None,278.95,0.0,0.0,5,Clear,sky is clear,2/19/2016 19:00,3757,medium
44249,None,294.23,0.0,0.0,75,Clouds,broken clouds,5/20/2018 20:00,2692,low
42807,None,265.22,0.0,0.0,5,Clear,sky is clear,3/31/2018 21:00,2761,low
39779,None,268.15,0.0,0.0,90,Snow,light snow,12/15/2017 3:00,387,very low
41528,None,274.09,0.0,0.0,90,Clouds,overcast clouds,2/15/2018 16:00,6807,very high
25549,None,288.57,0.0,0.0,12,Clouds,few clouds,8/7/2016 3:00,561,very low
37844,None,286.62,0.0,0.0,90,Drizzle,light intensity drizzle,10/7/2017 12:00,4823,high
47312,None,293.77,3.94,0.0,90,Rain,heavy intensity rain,9/2/2018 10:00,3571,medium
4474,None,260.0,0.0,0.0,1,Clear,sky is clear,3/23/2013 7:00,2004,low
33780,None,283.08,0.0,0.0,90,Rain,light rain,5/18/2017 12:00,4862,high
